"All","Все"
"Edit Payment Information","Edit Payment Information"
"Items in Your Shopping Cart","Items in Your Shopping Cart"
"Edit Shopping Cart","Edit Shopping Cart"
"Place Order","Place Order"
"Submitting order information...","Submitting order information..."
"Item","Item"
"Price","Цена"
"Qty","Кол-во"
"Subtotal","Промежуточный итог"
"Please update order data to get shipping methods and rates","Please update order data to get shipping methods and rates"
"or","или"
"Checkout with PayPal","Checkout with PayPal"
"Please do not refresh the page until you complete payment.","Please do not refresh the page until you complete payment."
"You will be required to enter your payment details after you place an order.","You will be required to enter your payment details after you place an order."
"Continue","Продолжить"
"Additional Options","Additional Options"
"-- Please Select Billing Agreement--","-- Please Select Billing Agreement--"
"Acceptance Mark","Acceptance Mark"
"What is PayPal?","What is PayPal?"
"Sign a billing agreement to streamline further purchases  with PayPal.","Sign a billing agreement to streamline further purchases  with PayPal."
"Sign a billing agreement to streamline further purchases with PayPal.","Sign a billing agreement to streamline further purchases with PayPal."
"Continue to PayPal","Continue to PayPal"
"Save credit card information for future use.","Save credit card information for future use."
"Sorry, something went wrong.","Sorry, something went wrong."
"Sorry, something went wrong. Please try again later.","Sorry, something went wrong. Please try again later."
"PayPal Section","PayPal Section"
"PayPal Settlement","PayPal Settlement"
"Fetch","Fetch"
"Actions","Actions"
"Manage","Manage"
"Place Order Using Billing Agreements","Place Order Using Billing Agreements"
"Merchant Location","Merchant Location"
"Merchant Country","Merchant Country"
"If not specified, Default Country from General Config will be used","If not specified, Default Country from General Config will be used"
"Recommended Solutions:","Recommended Solutions:"
"Other PayPal Payment Solutions:","Other PayPal Payment Solutions:"
"Other Payment Methods:","Other Payment Methods:"
"PayPal Express Checkout","PayPal Express Checkout"
"Add another payment method to your existing solution or as a stand-alone option.","Add another payment method to your existing solution or as a stand-alone option."
"PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>"
"Choose a secure bundled payment solution for your business.","Choose a secure bundled payment solution for your business."
"Payments Pro","Payments Pro"
"Payments Pro and Express Checkout","Payments Pro and Express Checkout"
"Basic Settings - PayPal Payments Pro","Basic Settings - PayPal Payments Pro"
"PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>","PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>"
"Accept payments with a completely customizable checkout page.","Accept payments with a completely customizable checkout page."
"Process payments using your own internet merchant account.","Process payments using your own internet merchant account."
"Website Payments Pro","Website Payments Pro"
"Express Checkout","Express Checkout"
"Add PayPal as an additional payment method to your checkout page.","Add PayPal as an additional payment method to your checkout page."
"Required PayPal Settings","Required PayPal Settings"
"Email Associated with PayPal Merchant Account (Optional)","Email Associated with PayPal Merchant Account (Optional)"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>"
"Don't have a PayPal account? Simply enter your email address.","Don't have a PayPal account? Simply enter your email address."
"API Authentication Methods","API Authentication Methods"
"API Username","API Username"
"API Password","API Password"
"Get Credentials from PayPal","Get Credentials from PayPal"
"Sandbox Mode","Sandbox Mode"
"API Uses Proxy","API Uses Proxy"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Enable this Solution","Enable this Solution"
"Enable In-Context Checkout Experience","Enable In-Context Checkout Experience"
"See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>."
"Merchant Account ID","Merchant Account ID"
"Enable PayPal Credit","Enable PayPal Credit"
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>"
"Sort Order PayPal Credit","Sort Order PayPal Credit"
"Advertise PayPal Credit","Advertise PayPal Credit"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
