"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' parece ser un nombre de host DNS, pero no podemos coincidir con el esquema de nombre de host para TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' como un nombre de host DNS pero no se puede extraer parte TLD."
"'%value%' does not look like a valid local network name.","'%value%' no parece ser un nombre válido de red local."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' se ve como un nombre de red local, que no es un formato aceptable."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' parece ser un nombre de servidor DNS pero no se puede descifrar la notación del Punycode introducido."
"""%1"" is not a valid URL.","""%1"" no es una dirección URL válida."
"""%1"" is not a valid date.","""%1"" no es una fecha válida."
"""%1"" does not fit the entered date format.","""%1"" no se ajusta al formato de fecha introducido."
"Please enter a valid date between %1 and %2 at %3.","Por favor introduzca una fecha válida entre %1 y %2 en %3."
"Please enter a valid date equal to or greater than %1 at %2.","Por favor introduzca una fecha válida igual o mayor que %1 en %2."
"Please enter a valid date less than or equal to %1 at %2.","Por favor introduzca una fecha válida menos o igual a %1 en %2."
"""%1"" is not a valid file extension.","""%1"" no es una extensión de archivo válida."
"""%1"" is not a valid file.","""%1"" no es un archivo válido."
"""%1"" exceeds the allowed file size.","""%1"" supera el tamaño de archivo permitido."
"""%1"" is not a valid image format.","""%1"" no es un formato de imagen válido."
"""%1"" width exceeds allowed value of %2 px.","""%1"" ancho excede el valor permitido de %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" altura excede el valor permitido de %2 px."
"""%1"" length must be equal or greater than %2 characters.","""%1"" longitud debe ser igual o mayor que %2 caracteres."
"""%1"" length must be equal or less than %2 characters.","La longitud de ""%1"" debe ser igual o menor a los caracteres de %2."
"label","etiqueta"
"The customer email is missing. Enter and try again.","El email del cliente no se encuentra. Introduce y prueba de nuevo."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","El sitio web del cliente no se ha especificado. Debe especificarse para usar el website scope."
"Customer Group","Grupo del cliente"
"You can't delete group ""%1"".","No se puede eliminar el grupo ""%1""."
"Customer Group already exists.","Grupo de clientes ya existe."
"Cannot delete group.","No se puede eliminar el grupo."
"Error during VAT Number verification.","Error durante la verificación del número VAT."
"PHP SOAP extension is required.","Se requiere la extensión PHP SOAP"
"VAT Number is valid.","Número de VAT es inválido."
"Please enter a valid VAT number.","Especifique un número TAX/VAT válido."
"Your VAT ID was successfully validated.","Su ID de IVA se ha validado correctamente."
"You will be charged tax.","Se le cargarán los impuestos."
"You will not be charged tax.","No se le cargarán los impuestos."
"The VAT ID entered (%1) is not a valid VAT ID.","El ID de IVA introducido (%s) no es un ID de IVA válido."
"Your Tax ID cannot be validated.","Su ID de impuestos no se ha podido validar."
"If you believe this is an error, please contact us at %1","Si usted cree que esto es un error, por favor contáctenos en %1"
"No such entity with %fieldName = %fieldValue","Sin indentidad con %fieldName = %fieldValue"
"Male","Masculino"
"Female","Femenino"
"Not Specified","No especificado"
"Thank you for registering with","Gracias por registrarse con"
"enter your billing address for proper VAT calculation","introduzca su dirección de facturación para el adecuado cálculo del IVA"
"enter your shipping address for proper VAT calculation","introduzca su dirección de envío para el adecuado cálculo del IVA"
"Please enter new password.","Por favor, introduzca una nueva contraseña."
"message","mensaje"
"NoSuchEntityException","NoSuchEntityException"
"Exception","Excepcion"
"InputException.","InputException."
"InputException","InputException"
"Exception message","Mensaje de excepción"
"Validator Exception","Excepción de validador"
"Localized Exception","Excepción localizada"
"some error","algún error"
"frontend_label","frontend_label"
"NOT LOGGED IN","NO CONECTADO"
"Please enter the state/province.","Por favor, introduzca el estado/provincia."
"region is a required field.","región es un campo obligatorio."
"""regionId"" is required. Enter and try again.","Se requiere ""regionld"". Introducelo y prueba de nuevo."
"Label","Etiqueta"
"Select...","Seleccionar..."
"Edit","Editar"
"Delete %1","Eliminar %1"
"Are you sure you want to delete a %1 record?","¿Está seguro que desea eliminar un registro de %1?"
"Visitor","Visitante"
"Customer","Cliente"
"No item specified.","No se especificó artículo."
"Are you sure you want to remove this item?","¿Está seguro que desea eliminar este artículo?"
"Personal Information","Información Personal"
"Last Logged In:","Letzte Anmeldung:"
"Last Logged In (%1):","Última sesión iniciada (%1):"
"Account Lock:","Bloqueo de cuenta:"
"Confirmed email:","Bestätigte eMail-Adresse:"
"Account Created:","Cuenta creada:"
"Account Created on (%1):","Cuenta creada en (%1):"
"Account Created in:","Kundenkonto angelegt in:"
"Customer Group:","Kundengruppe:"
"Default Billing Address","Dirección de facturación por defecto"
"Sales Statistics","Estadísticas de Ventas"
"Web Site","Sitio web"
"Store","Tienda"
"Store View","Vista de la tienda"
"Lifetime Sales","Ventas de por Vida"
"Average Sale","Venta promedio"
"All Store Views","Todas las vistas de la tienda"
"Change","Cambio"
"Manage Addresses","Gestionar direcciones"
"Default Shipping Address","Dirección de envío predeterminada"
"Contact Information","Información del contacto"
"Change Password","Cambiar la contraseña"
"Newsletters","Boletines informativos"
"You are subscribed to ""General Subscription"".","Estás suscrito a ""Suscripción general""."
"or","o"
"My Account","Mi Cuenta"
"Default Addresses","Direcciones (predeterminado)"
"Change Billing Address","Cambiar la dirección de facturación"
"You have no default billing address in your address book.","No tiene ninguna dirección de facturación por defecto en su libreta de direcciones."
"Change Shipping Address","Cambiar la dirección de envío"
"You have no default shipping address in your address book.","No tiene ninguna dirección de envío por defecto en su libreta de direcciones."
"Additional Address Entries","Entradas adicionales de direcciones postales"
"Delete Address","Borrar dirección"
"You have no other address entries in your address book.","No tiene otras entradas de direcciones en la libreta de direcciones."
"* Required Fields","* Campos obligatorios"
"Address","Dirección"
"Street Address","Dirección postal (Calle, Nº de Casa, Código Postal)"
"Street Address %1","Dirección %1"
"VAT Number","Número de IVA"
"City","Ciudad"
"State/Province","Estado/Provincia"
"Please select a region, state or province.","Por favor seleccione región, estado o provincia."
"Zip/Postal Code","Código Postal"
"Country","País"
"It's a default billing address.","Es una dirección de facturación predeterminada."
"Use as my default billing address","Utilice como mi dirección de facturación por defecto"
"It's a default shipping address.","Es una dirección de envío predeterminada."
"Use as my default shipping address","Utilice como mi dirección de envío predeterminada"
"Save Address","Guardar dirección"
"Go back","Retroceder"
"Please enter your email below and we will send you the confirmation link.","Introduce tu email debajo y te enviaremos el enlace de confirmación."
"Email","Correo electrónico"
"Send confirmation link","Enviar enlace de confirmación"
"Back to Sign In","Volver a iniciar sesión"
"Change Email","Cambiar correo electrónico"
"Change Email and Password","Cambiar Email y contraseña"
"Current Password","Contraseña actual"
"New Password","Nueva Contraseña"
"Password Strength","Fuerza de la contraseña"
"No Password","Sin contraseña"
"Confirm New Password","Confirmar contraseña nueva"
"Save","Guardar"
"Please enter your email address below to receive a password reset link.","Por favor introduzca su dirección de correo electrónico para recibir un enlace de restablecimiento de contraseña."
"Reset My Password","Restablecer mi contraseña"
"Registered Customers","Clientes registrados"
"If you have an account, sign in with your email address.","Si tiene una cuenta, inicie sesión con su dirección de correo electrónico."
"Password","Contraseña"
"Forgot Your Password?","¿Olvidó su contraseña?"
"Subscription option","Opciones de suscripción"
"General Subscription","Suscripción general"
"Sign Up for Newsletter","Suscribirse al boletín"
"Address Information","Información de dirección"
"Sign-in Information","Información de inicio de sesión"
"Confirm Password","Confirmar contraseña"
"Create an Account","Crear una cuenta"
"Set a New Password","Establecer nueva contraseña"
